"Taxon","Habitat","F14","F22","F30"
"Achillea maritima","Coastal cliffs and dunes",0.015555556,0.015555556,0.015555556
"Achillea millefolium","Mesic meadows",0.785714285714286,0.91820580474934,0.914893617021277
"Agrostis capillaris","Mesic meadows",0.582417582417582,0.767195767195767,0.515151515151515
"Agrostis castellana","Mesic meadows",0.572916666666667,0.608695652173913,0.606060606060606
"Androsace villosa"," Alpine grasslands",0.062068966,0.062068966,0.062068966
"Angelica pachycarpa","Coastal cliffs and dunes",0.857142857,0.923076923,0.316455696
"Anthoxanthum odoratum","Mesic meadows",0.5,0.623931623931624,0.350515463917526
"Anthriscus sylvestris","Mesic meadows",0,0,0
"Arenaria erinacea"," Alpine grasslands",0.72972973,0.903614458,0.013333333
"Arenaria grandiflora"," Alpine grasslands",0.90625,0.276595745,0.011627907
"Arenaria purpurascens"," Alpine grasslands",0.040139713,0.071772014,0.022042993
"Armeria cantabrica"," Alpine grasslands",0.902439024,0.757009346,0.472527473
"Armeria pubigera","Coastal cliffs and dunes",0.934292716,0.934292716,0.231099771
"Arnica montana","Bogs and fens",0.132530121,0.444444444,0.677966102
"Arrhenatherum elatius","Mesic meadows",0.598870056497175,0.772200772200772,0.760233918128655
"Beta vulgaris maritima","Coastal cliffs and dunes",0.076732021,0.076732021,0.348465724
"Blysmus compressus","Bogs and fens",0.000783343,0.011697864,0.205147137
"Bromus hordeaceus","Mesic meadows",0.966666666666667,1,0.99
"Cakile maritima","Coastal cliffs and dunes",0.279286916,0.764843672,0.953504765
"Calystegia soldanella","Coastal cliffs and dunes",0.157575758,0.157575758,0.157575758
"Carex arenaria","Coastal cliffs and dunes",0.007121679,0.54076491,0.54076491
"Carex asturica"," Alpine grasslands",0.010791367,0.010791367,0.010791367
"Carex binervis","Bogs and fens",0.01980198,0.01980198,0.01980198
"Carex canescens","Bogs and fens",0.011111111,0.239130435,0.223404255
"Carex davalliana","Bogs and fens",0.010869565,0.010752688,0.314606742
"Carex demissa","Bogs and fens",0.001551073,0.012378045,0.03595964
"Carex diandra","Bogs and fens",0.01010101,0.03,0.82
