"Taxon","Family","Database","Reference","Country","Population","Scarification","Stratification","GA3","Tmean","Alternating","Light","Germinated","Germinable"
"Achillea millefolium","Compositae","Enscobase","RBGK","UK","K_66916",0,0,0,26,0,1,50,50
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","Spain","SOS242",0,0,1,17,1,1,83,85
"Achillea millefolium","Compositae","Enscobase","RBGK","UK","K_66916",0,0,0,25,0,1,49,50
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","Spain","SOS242",0,0,0,25,1,1,86,94
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","Portugal","SOS222",0,0,1,17,1,1,93,97
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","France","SOS251",0,0,0,17,1,1,90,90
"Achillea millefolium","Compositae","Enscobase","RBGK","France","K_12692",0,0,0,15,0,1,50,50
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","Spain","SOS242",0,0,0,9,1,1,66,84
"Achillea millefolium","Compositae","Enscobase","RBGK","France","K_12692",0,0,0,16,0,1,98,100
"Achillea millefolium","Compositae","Enscobase","RBGK","Hungary","K_397616",0,0,0,10,0,1,14,20
"Achillea millefolium","Compositae","Enscobase","RBGK","Hungary","K_397616",0,0,0,20,0,1,19,20
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","Spain","SOS242",0,0,0,17,1,1,98,98
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","Portugal","SOS222",0,0,0,17,1,1,79,97
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","Spain","SOS242",0,0,1,25,1,1,75,94
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","France","SOS251",0,0,1,17,1,1,90,90
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","Spain","SOS242",0,0,1,9,1,1,65,88
"Achillea millefolium","Compositae","Enscobase","BGBM","Germany","B_DE-1438398",0,0,0,22,0,1,0,20
"Achillea millefolium","Compositae","Enscobase","BGBM","Italy","B_IT-3002999",0,0,0,22,0,1,0,20
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","Spain","SOS185",0,0,1,17,1,1,83,97
"Achillea millefolium","Compositae","Enscobase","RBGK","Hungary","K_397616",0,0,0,15,0,1,15,19
"Achillea millefolium","Compositae","SOSPRADERAS","SOSPRADERAS","Spain","SOS185",0,0,0,17,1,1,81,94
"Agrostis capillaris","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS243",0,0,0,9,1,1,53,91
"Agrostis capillaris","Poaceae","Enscobase","RBGK","UK","K_12599",1,0,0,21,0,1,49,50
"Agrostis capillaris","Poaceae","SOSPRADERAS","SOSPRADERAS","France","SOS247",0,0,0,17,1,1,16,33
"Agrostis capillaris","Poaceae","SOSPRADERAS","SOSPRADERAS","France","SOS247",0,0,1,17,1,1,12,35
"Agrostis capillaris","Poaceae","Enscobase","RBGK","Greece","K_163376",0,0,0,20,0,1,18,20
"Agrostis capillaris","Poaceae","SOSPRADERAS","SOSPRADERAS","France","SOS252",0,0,1,17,1,1,19,42
"Agrostis capillaris","Poaceae","Enscobase","RBGK","UK","K_408961",0,0,0,15,0,1,19,20
"Agrostis capillaris","Poaceae","Enscobase","RBGK","Greece","K_163376",0,0,0,15,0,1,17,20
"Agrostis capillaris","Poaceae","SylvanSeeds","Thompson, K. (1989). ""A Comparative Study of Germination Responses to High Irradiance Light."" Annals of Botany 63(1): 159-162.","UK","Plymouth, UK",0,0,0,15,0,0,1,100
"Agrostis capillaris","Poaceae","Enscobase","RBGK","UK","K_408961",0,0,0,13.33333333,1,1,19,20
"Agrostis capillaris","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS243",0,0,1,17,1,1,89,89
"Agrostis capillaris","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS243",0,0,0,17,1,1,98,98
"Agrostis capillaris","Poaceae","SylvanSeeds","Thompson, K. (1989). ""A Comparative Study of Germination Responses to High Irradiance Light."" Annals of Botany 63(1): 159-162.","UK","Plymouth, UK",0,0,0,15,1,1,86,100
"Agrostis capillaris","Poaceae","Enscobase","RBGK","UK","K_58056",1,0,0,15,1,1,50,50
"Agrostis capillaris","Poaceae","SylvanSeeds","Hanslin, H. M. H., Hans Martin; Eggen, Trine (2005). ""Salinity tolerance during germination of seashore halophytes and salt-tolerant grass cultivars."" Seed Science Research 15(1): 43-50.","Denmark","DLF-TRIFOLIUM Company, Denmark",0,0,0,22,1,1,57,60
"Agrostis capillaris","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS243",0,0,1,25,1,1,62,100
"Agrostis capillaris","Poaceae","Enscobase","RBGK","UK","K_39958",1,0,0,16,1,1,18,20
"Agrostis capillaris","Poaceae","SOSPRADERAS","SOSPRADERAS","France","SOS252",0,0,0,17,1,1,31,58
"Agrostis capillaris","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS243",0,0,0,25,1,1,51,99
"Agrostis capillaris","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS243",0,0,1,9,1,1,59,88
"Agrostis capillaris","Poaceae","Enscobase","RBGK","UK","K_408961",0,0,0,20,0,1,18,20
"Agrostis capillaris","Poaceae","Enscobase","RBGK","UK","K_58056",0,0,0,15,1,1,47,49
"Agrostis capillaris","Poaceae","SylvanSeeds","Thompson, K. (1989). ""A Comparative Study of Germination Responses to High Irradiance Light."" Annals of Botany 63(1): 159-162.","UK","Plymouth, UK",0,0,0,15,0,1,21,200
"Ajuga reptans","Lamiaceae","Enscobase","RBGK","UK","K_134772",0,0,0,21,0,1,2,20
"Ajuga reptans","Lamiaceae","SylvanSeeds","Jankowska-Blaszczuk, M. and M. I. Daws (2007). ""Impact of red : far red ratios on germination of temperate forest herbs in relation to shade tolerance, seed mass and persistence in the soil."" Functional Ecology 21(6): 1055-1062.","Poland","Bialowieza forest, Poland",0,1,0,15,0,0,6,75
"Ajuga reptans","Lamiaceae","Enscobase","RBGK","UK","K_134772",0,0,1,21,0,1,14,20
"Ajuga reptans","Lamiaceae","Enscobase","RBGK","UK","K_134772",0,0,0,16,0,1,2,20
"Ajuga reptans","Lamiaceae","Enscobase","RBGK","UK","K_134772",0,0,1,16,0,1,16,20
"Ajuga reptans","Lamiaceae","Enscobase","RBGK","UK","K_134716",0,0,1,21,0,1,16,20
"Ajuga reptans","Lamiaceae","Enscobase","RBGK","UK","K_134772",0,0,0,26,0,1,0,20
"Ajuga reptans","Lamiaceae","SylvanSeeds","Jankowska-Blaszczuk, M. and M. I. Daws (2007). ""Impact of red : far red ratios on germination of temperate forest herbs in relation to shade tolerance, seed mass and persistence in the soil."" Functional Ecology 21(6): 1055-1062.","Poland","Bialowieza forest, Poland",0,1,0,15,0,1,28,75
"Alopecurus pratensis","Poaceae","Enscobase","BGBM","Germany","B_DE-1323597",0,0,0,22,0,1,0,20
"Alopecurus pratensis","Poaceae","Enscobase","RBGK","Greece","K_42868",0,0,0,20,0,1,10,10
"Alopecurus pratensis","Poaceae","Enscobase","RBGK","UK","K_127473",1,0,0,16,0,1,39,42
"Alopecurus pratensis","Poaceae","Enscobase","RBGK","Greece","K_42868",0,0,0,21,0,1,85,110
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","Greece","K_25029",0,0,0,21,0,1,175,195
"Anthoxanthum odoratum","Poaceae","Enscobase","PAVIA","Italy","PAV_88PV",0,0,0,20,0,1,44,44
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","France","K_63063",0,0,0,16,0,1,32,40
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","Greece","K_25029",0,0,0,20,0,1,20,20
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","Greece","K_25063",1,0,0,20,0,1,14,20
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","Greece","K_25410",0,0,0,20,0,1,19,20
"Anthoxanthum odoratum","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,0,17,1,1,124,190
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","Greece","K_25063",0,0,0,25,0,1,18,20
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","UK","K_17114",0,0,0,16,0,1,90,94
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","UK","K_17114",0,0,0,15,0,1,41,42
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","Greece","K_25063",0,0,0,20,0,1,40,50
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","UK","K_411044",0,0,0,15,0,1,18,20
"Anthoxanthum odoratum","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,1,25,1,1,54,99
"Anthoxanthum odoratum","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,1,17,1,1,126,189
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","UK","K_9564",0,1,0,15,1,1,12,16
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","UK","K_9564",0,1,0,16,1,1,10,10
"Anthoxanthum odoratum","Poaceae","SOSPRADERAS","SOSPRADERAS","France","SOS199",0,0,0,17,1,1,65,73
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","Greece","K_25410",0,0,0,21,0,1,132,140
"Anthoxanthum odoratum","Poaceae","Enscobase","PAVIA","Italy","PAV_2VA",0,0,0,20,0,1,16,16
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","Greece","K_51541",0,0,0,11,0,1,58,68
"Anthoxanthum odoratum","Poaceae","SOSPRADERAS","SOSPRADERAS","Portugal","SOS166",0,0,1,17,1,1,34,98
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","UK","K_49502",0,0,0,16,0,1,68,70
"Anthoxanthum odoratum","Poaceae","SOSPRADERAS","SOSPRADERAS","France","SOS199",0,0,1,17,1,1,59,65
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","UK","K_411044",0,0,0,15,1,1,20,20
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","Greece","K_25063",0,0,0,21,0,1,128,150
"Anthoxanthum odoratum","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,0,25,1,1,34,97
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","UK","K_411044",0,0,0,20,0,1,19,20
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","Greece","K_51541",0,0,0,10,0,1,16,20
"Anthoxanthum odoratum","Poaceae","Enscobase","RBGK","UK","K_49502",0,0,0,15,0,1,19,20
"Anthoxanthum odoratum","Poaceae","SOSPRADERAS","SOSPRADERAS","Portugal","SOS166",0,0,0,17,1,1,30,88
"Anthoxanthum odoratum","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,1,9,1,1,45,99
"Anthoxanthum odoratum","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,0,9,1,1,49,98
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Poland","K_51611",0,1,0,16,0,1,10,42
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Poland","K_51611",0,1,0,5,0,1,6,20
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","France","K_72562",0,1,0,5,0,1,15,20
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","France","K_72562",0,1,0,16,0,1,9,10
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Poland","K_72551",0,1,0,16,0,1,14,19
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Germany","K_72517",0,1,0,16,0,1,7,24
"Anthriscus sylvestris","Apiaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,1,17,1,1,0,56
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_49616",0,1,0,16,0,1,13,50
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_39420",0,1,0,5,0,1,49,50
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Norway","K_51839",0,1,0,16,0,1,6,14
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_49616",0,0,0,6,0,1,52,108
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Romania","K_52102",0,1,0,16,0,1,41,50
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Ireland","K_52179",0,1,0,16,0,1,20,43
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Germany","K_72517",0,1,0,5,0,1,3,20
"Anthriscus sylvestris","Apiaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,1,9,1,1,3,100
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Ireland","K_52179",0,1,0,5,0,1,14,19
"Anthriscus sylvestris","Apiaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,1,25,1,1,0,83
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_49616",0,1,0,11,0,1,34,50
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Romania","K_52102",0,1,0,5,0,1,17,20
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_49616",0,1,0,6,0,1,45,50
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","France","K_52098",0,1,0,16,0,1,30,50
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","France","K_52098",0,1,0,5,0,1,15,20
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_39420",0,1,0,16,1,1,91,100
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_53121",0,1,0,5,0,1,47,50
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_53121",0,1,0,6,0,1,20,20
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_49616",0,0,0,11,0,1,0,50
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Norway","K_51839",0,1,0,5,0,1,12,18
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_49616",0,0,0,21,0,1,0,50
"Anthriscus sylvestris","Apiaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,0,25,1,1,0,84
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_49616",0,1,0,21,0,1,9,48
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_75183",0,1,0,5,0,1,8,19
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_49616",0,1,0,16,1,1,15,50
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","Romania","K_52102",0,1,0,15,0,1,30,46
"Anthriscus sylvestris","Apiaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,0,9,1,1,0,97
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_75183",0,1,0,16,0,1,11,20
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_49616",0,0,0,16,0,1,0,50
"Anthriscus sylvestris","Apiaceae","Enscobase","RBGK","UK","K_49616",0,1,1,11,0,1,46,50
"Anthriscus sylvestris","Apiaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,0,17,1,1,0,66
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","France","K_5326",1,0,0,21,0,1,144,150
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","France","K_5588",1,0,0,20,0,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","PAVIA","Italy","PAV_21SO",1,0,0,10,0,1,38,38
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Belgium","K_174640",1,0,0,20,0,1,10,10
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Greece","K_25339",1,0,0,20,0,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Greece","K_5636",1,0,0,20,0,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","France","K_5588",1,0,0,21,0,1,118,120
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Germany","K_5603",0,0,0,20,0,1,44,50
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Norway","K_10322",1,0,0,21,0,1,116,120
"Anthyllis vulneraria","Leguminosae","Enscobase","PAVIA","Italy","PAV_21SO",0,0,0,10,0,1,18,48
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Greece","K_25339",1,0,0,21,0,1,138,140
"Anthyllis vulneraria","Leguminosae","Enscobase","PAVIA","Italy","PAV_21SO",1,0,0,20,0,1,20,20
