"Plot","Longitude","Latitude","Area","Date","Precision","Region","bio06","bio14","pH","Sand"
1,-5.03867625089213,43.2293412138884,80,2017-07-11,"0,1x0,1 Km","Cantabrian Mountains",2.3,49,5.39,64.4917887261424
2,-5.0429335896085,43.231084116658,100,2017-07-11,"0,1x0,1 Km","Cantabrian Mountains",1.4,53,5.31,46.1013295005386
3,-5.04507074801259,43.2334951019447,100,2017-07-11,"0,1x0,1 Km","Cantabrian Mountains",2.2,49,5.43,65.9358288770047
4,-5.04729509887122,43.2333562519418,100,2017-07-11,"0,1x0,1 Km","Cantabrian Mountains",2.2,49,5.41,71.5774514448133
5,-5.05072412889753,43.2335199177272,150,2017-07-11,"0,1x0,1 Km","Cantabrian Mountains",1.7,51,5.35,50.4754358161648
6,-4.80886625827322,43.1388129424613,100,2017-06-22,"0,1x0,1 Km","Cantabrian Mountains",-0.1,36,6.12,70.4558204768545
7,-4.81687719437906,43.1369480957979,100,2017-06-22,"0,1x0,1 Km","Cantabrian Mountains",-1.2,38,6.33,73.7662337662307
8,-4.81556499253574,43.1324936567559,100,2017-06-22,"0,1x0,1 Km","Cantabrian Mountains",0,38,6.41,75.4333576110731
9,-4.80270259890634,43.1311663086898,100,2017-06-22,"0,1x0,1 Km","Cantabrian Mountains",0.5,37,6.24,70.1324503311252
10,-4.80873580976388,43.1364738159718,80,2017-06-22,"0,1x0,1 Km","Cantabrian Mountains",-0.1,36,6.03,65.8703071672336
11,-4.88749176071678,43.133382428676,80,2017-06-23,"0,1x0,1 Km","Cantabrian Mountains",-1.1,42,6.04,55.4337050805446
12,-4.91956508968714,43.1548647411105,100,2017-07-23,"0,1x0,1 Km","Cantabrian Mountains",0.8,41,6.1,39.7324414715722
13,-4.90965102571729,43.1631257524221,80,2017-06-23,"0,1x0,1 Km","Cantabrian Mountains",0.9,42,6.78,53.9498018494056
14,-4.90577964822072,43.1683769182287,70,2017-06-23,"0,1x0,1 Km","Cantabrian Mountains",1.5,40,6.7,45.1612903225804
