"Taxon","Family","Temperature","Alternating","Light","Scarification","Stratification","Seed.mass","Seed.number","bio06","bio14","pH"
"Achillea millefolium","Compositae",17.686309034519,0.62584117736988,1,0,0,0.220666666666667,2473.01666666667,-2.98701298701299,47.3380952380952,6.56585281385281
"Agrostis capillaris","Poaceae",16.9561981371846,0.715743568008969,0.999394554990435,0.174368162754882,0,0.075,363.25,-2.33070314985682,49.5520203627108,6.41548520521794
"Alchemilla xanthochlora","Rosaceae",21,1,1,0,0,0.448,208.65,-3.77543859649123,52.4035087719298,6.69052631578947
"Anthemis arvensis","Compositae",22.4414715719064,0,0.732441471571906,0.585284280936455,0.585284280936455,0.67,4201,0.109931506849315,37.8116438356164,6.26428082191781
"Anthoxanthum odoratum","Poaceae",17.5118442105926,0.32825532531208,1,0.0273358501008011,0.0683396252520027,0.5525,401.875,-0.465376676986584,27.1996904024768,5.6906604747162
"Anthriscus sylvestris","Apiaceae",10.2037542016448,0.0692891936719945,1,0,0.971419242395154,3.7286625,3053.56875,-4.47167630057803,51.4335260115607,6.74352601156069
"Arenaria serpyllifolia","Caryophyllaceae",18.6196319018405,0,1,0,0,0.12215,840.333333333333,-4.01,51.2,6.81833333333333
"Arrhenatherum elatius","Poaceae",17.9037606114139,0.677253769095695,1,0,0,2.8,10,-1.72416132679985,38.1598190727478,6.13494157557482
"Briza media","Poaceae",18.4744302197976,0.386267448279488,1,0.0938776583160274,0,0.4,2504.86666666667,-0.851428571428571,50.8142857142857,6.18385714285714
"Bromus hordeaceus","Poaceae",18.3612087715645,0.26880979745916,1,0,0,1.48,635.033333333333,-0.539143968871595,39.515953307393,6.10337743190661
"Bromus racemosus","Poaceae",21,0,1,0,0,4.08,152,1.16603773584906,20.6981132075472,5.87075471698113
"Carex binervis","Cyperaceae",23.8692288486505,0.989445889049003,1,0.0883212442741332,0.82058011383305,1.522,4565,1.14965034965035,14.6433566433566,5.42916083916084
"Carex caryophyllea","Cyperaceae",26,1,1,0,1,0.885,23.5,-4.21,50.3666666666667,6.90966666666667
"Carum verticillatum","Apiaceae",14.4907574590079,0.374074332911992,1,0,0,0.783,716,1.10883392226148,14.6325088339223,5.18058303886926
"Centaurea scabiosa","Compositae",20.9732150365018,0.362444269235878,1,0,0,6.069,4300,-3.72345582486317,49.1759186864738,6.77276778733385
