"Taxon","Family","Population","Length","Width"
"Achillea millefolium","Compositae","SOS185",1.78,1.02
"Achillea millefolium","Compositae","SOS185",1.78,0.64
"Achillea millefolium","Compositae","SOS185",2.16,0.64
"Achillea millefolium","Compositae","SOS129",1.91,1.27
"Achillea millefolium","Compositae","SOS129",2.29,1.52
"Achillea millefolium","Compositae","SOS185",1.65,0.51
"Achillea millefolium","Compositae","SOS251",1.78,1.27
"Achillea millefolium","Compositae","SOS185",1.65,0.64
"Achillea millefolium","Compositae","SOS251",2.16,1.4
"Achillea millefolium","Compositae","SOS222",2.67,1.27
"Achillea millefolium","Compositae","SOS129",2.29,0.89
"Achillea millefolium","Compositae","SOS251",2.41,1.14
"Achillea millefolium","Compositae","SOS129",2.03,1.27
"Achillea millefolium","Compositae","SOS242",2.29,0.89
"Achillea millefolium","Compositae","SOS242",2.03,1.27
"Achillea millefolium","Compositae","SOS129",1.78,1.91
"Achillea millefolium","Compositae","SOS251",2.29,1.65
"Achillea millefolium","Compositae","SOS129",2.03,1.4
"Achillea millefolium","Compositae","SOS242",1.78,1.4
"Achillea millefolium","Compositae","SOS242",1.91,1.65
"Achillea millefolium","Compositae","SOS242",2.54,1.02
"Achillea millefolium","Compositae","SOS129",2.29,1.14
"Achillea millefolium","Compositae","SOS242",2.03,1.4
"Achillea millefolium","Compositae","SOS242",2.16,0.76
"Achillea millefolium","Compositae","SOS129",1.91,0.89
"Achillea millefolium","Compositae","SOS242",2.29,1.02
"Achillea millefolium","Compositae","SOS185",1.78,1.02
"Achillea millefolium","Compositae","SOS129",2.03,1.27
"Achillea millefolium","Compositae","SOS251",2.03,1.52
"Achillea millefolium","Compositae","SOS251",1.78,1.02
"Achillea millefolium","Compositae","SOS242",2.16,1.02
"Achillea millefolium","Compositae","SOS222",2.41,1.4
"Achillea millefolium","Compositae","SOS251",1.91,1.65
"Achillea millefolium","Compositae","SOS222",2.79,1.52
"Achillea millefolium","Compositae","SOS251",1.27,1.91
"Achillea millefolium","Compositae","SOS251",2.03,0.89
"Achillea millefolium","Compositae","SOS129",2.03,0.89
"Achillea millefolium","Compositae","SOS242",2.41,1.02
"Achillea millefolium","Compositae","SOS129",2.29,1.14
"Achillea millefolium","Compositae","SOS129",1.91,1.02
"Achillea millefolium","Compositae","SOS185",1.52,1.27
"Achillea millefolium","Compositae","SOS251",1.91,1.02
"Achillea millefolium","Compositae","SOS251",2.29,1.02
"Achillea millefolium","Compositae","SOS222",3.18,1.65
"Achillea millefolium","Compositae","SOS129",2.29,1.78
"Achillea millefolium","Compositae","SOS129",2.29,1.65
"Achillea millefolium","Compositae","SOS129",2.16,0.89
"Achillea millefolium","Compositae","SOS129",2.03,1.27
"Achillea millefolium","Compositae","SOS129",2.03,1.02
"Achillea millefolium","Compositae","SOS129",2.29,0.76
"Achillea millefolium","Compositae","SOS129",2.54,0.64
"Achillea millefolium","Compositae","SOS222",3.3,1.14
"Achillea millefolium","Compositae","SOS222",3.3,1.14
"Achillea millefolium","Compositae","SOS222",3.56,1.14
"Achillea millefolium","Compositae","SOS222",3.43,1.27
"Achillea millefolium","Compositae","SOS222",2.92,1.02
"Achillea millefolium","Compositae","SOS242",2.03,1.27
"Achillea millefolium","Compositae","SOS222",3.3,1.4
"Achillea millefolium","Compositae","SOS222",3.05,1.27
"Achillea millefolium","Compositae","SOS129",2.03,1.27
"Achillea millefolium","Compositae","SOS185",2.29,0.76
"Achillea millefolium","Compositae","SOS185",1.78,0.51
"Achillea millefolium","Compositae","SOS129",2.16,1.52
"Achillea millefolium","Compositae","SOS129",2.03,0.76
"Achillea millefolium","Compositae","SOS185",1.78,1.02
"Achillea millefolium","Compositae","SOS251",2.03,1.02
"Achillea millefolium","Compositae","SOS242",2.03,1.27
"Achillea millefolium","Compositae","SOS251",1.91,1.27
"Achillea millefolium","Compositae","SOS185",1.52,0.76
"Achillea millefolium","Compositae","SOS251",1.78,1.27
"Achillea millefolium","Compositae","SOS222",3.3,1.27
"Achillea millefolium","Compositae","SOS242",2.29,1.65
"Achillea millefolium","Compositae","SOS185",2.03,0.64
"Achillea millefolium","Compositae","SOS251",2.03,1.02
"Achillea millefolium","Compositae","SOS129",2.03,1.65
"Achillea millefolium","Compositae","SOS129",2.16,1.27
"Achillea millefolium","Compositae","SOS251",1.91,1.27
"Achillea millefolium","Compositae","SOS251",1.91,1.91
"Achillea millefolium","Compositae","SOS129",2.16,1.4
"Achillea millefolium","Compositae","SOS129",2.16,1.02
"Achillea millefolium","Compositae","SOS129",2.92,1.02
"Achillea millefolium","Compositae","SOS129",1.91,1.4
"Achillea millefolium","Compositae","SOS251",1.52,1.52
"Achillea millefolium","Compositae","SOS222",3.43,1.27
"Achillea millefolium","Compositae","SOS251",1.4,1.65
"Achillea millefolium","Compositae","SOS251",1.65,1.65
"Achillea millefolium","Compositae","SOS129",2.03,1.02
"Achillea millefolium","Compositae","SOS242",2.16,0.89
"Achillea millefolium","Compositae","SOS242",2.03,1.14
"Achillea millefolium","Compositae","SOS242",2.67,0.89
"Achillea millefolium","Compositae","SOS242",2.29,0.89
"Achillea millefolium","Compositae","SOS242",2.16,1.14
"Achillea millefolium","Compositae","SOS242",1.91,1.27
"Achillea millefolium","Compositae","SOS242",2.41,1.14
"Achillea millefolium","Compositae","SOS242",2.03,0.89
"Achillea millefolium","Compositae","SOS242",2.16,1.52
"Achillea millefolium","Compositae","SOS222",3.56,1.27
"Achillea millefolium","Compositae","SOS185",1.65,1.14
"Achillea millefolium","Compositae","SOS185",1.78,0.76
"Achillea millefolium","Compositae","SOS222",2.41,1.65
"Achillea millefolium","Compositae","SOS222",3.56,1.27
"Achillea millefolium","Compositae","SOS185",1.78,0.38
"Achillea millefolium","Compositae","SOS185",2.03,1.27
"Achillea millefolium","Compositae","SOS185",2.16,0.64
"Achillea millefolium","Compositae","SOS251",1.91,0.89
"Achillea millefolium","Compositae","SOS251",1.78,1.27
"Achillea millefolium","Compositae","SOS251",2.16,1.14
"Achillea millefolium","Compositae","SOS251",2.41,1.02
"Achillea millefolium","Compositae","SOS251",2.41,1.14
"Achillea millefolium","Compositae","SOS251",1.78,1.91
"Achillea millefolium","Compositae","SOS251",2.29,1.02
"Achillea millefolium","Compositae","SOS251",2.16,0.89
"Achillea millefolium","Compositae","SOS251",2.03,1.4
"Achillea millefolium","Compositae","SOS251",1.91,1.02
"Achillea millefolium","Compositae","SOS185",1.65,0.89
"Achillea millefolium","Compositae","SOS185",1.91,0.76
"Achillea millefolium","Compositae","SOS222",3.3,1.02
"Achillea millefolium","Compositae","SOS222",3.43,1.4
"Achillea millefolium","Compositae","SOS222",3.18,1.4
"Achillea millefolium","Compositae","SOS251",1.78,1.52
"Achillea millefolium","Compositae","SOS251",1.65,2.29
"Achillea millefolium","Compositae","SOS251",2.41,1.27
"Achillea millefolium","Compositae","SOS251",2.29,1.78
"Achillea millefolium","Compositae","SOS129",2.41,1.02
"Achillea millefolium","Compositae","SOS129",2.03,1.02
"Achillea millefolium","Compositae","SOS129",2.29,1.02
"Achillea millefolium","Compositae","SOS242",2.16,1.27
"Achillea millefolium","Compositae","SOS222",3.3,1.02
"Achillea millefolium","Compositae","SOS222",3.94,1.4
"Achillea millefolium","Compositae","SOS222",3.3,1.02
"Achillea millefolium","Compositae","SOS222",3.43,1.27
"Achillea millefolium","Compositae","SOS222",3.56,1.65
"Achillea millefolium","Compositae","SOS185",1.91,0.51
"Achillea millefolium","Compositae","SOS185",1.91,0.51
"Achillea millefolium","Compositae","SOS185",2.41,0.76
"Achillea millefolium","Compositae","SOS185",1.91,0.76
"Achillea millefolium","Compositae","SOS185",2.03,0.76
"Achillea millefolium","Compositae","SOS242",2.16,1.65
"Achillea millefolium","Compositae","SOS242",2.29,1.27
"Achillea millefolium","Compositae","SOS185",1.65,0.64
"Achillea millefolium","Compositae","SOS185",1.65,0.64
"Achillea millefolium","Compositae","SOS185",1.52,0.51
"Achillea millefolium","Compositae","SOS185",1.91,0.89
"Achillea millefolium","Compositae","SOS185",1.91,0.76
"Achillea millefolium","Compositae","SOS251",1.65,1.65
"Achillea millefolium","Compositae","SOS251",1.78,1.4
"Achillea millefolium","Compositae","SOS222",3.3,0.89
"Achillea millefolium","Compositae","SOS222",3.43,1.14
"Achillea millefolium","Compositae","SOS222",3.18,1.27
"Achillea millefolium","Compositae","SOS222",3.3,2.41
"Achillea millefolium","Compositae","SOS222",3.81,1.02
"Achillea millefolium","Compositae","SOS129",2.16,1.02
"Achillea millefolium","Compositae","SOS129",2.16,1.4
"Achillea millefolium","Compositae","SOS129",1.91,1.4
"Achillea millefolium","Compositae","SOS129",2.16,0.89
"Achillea millefolium","Compositae","SOS222",3.05,1.91
"Achillea millefolium","Compositae","SOS185",1.91,0.64
"Achillea millefolium","Compositae","SOS185",2.16,0.76
"Achillea millefolium","Compositae","SOS185",1.52,0.51
"Achillea millefolium","Compositae","SOS251",2.16,1.4
"Achillea millefolium","Compositae","SOS251",1.4,1.14
"Achillea millefolium","Compositae","SOS222",3.18,1.78
"Achillea millefolium","Compositae","SOS222",3.43,1.14
"Achillea millefolium","Compositae","SOS222",3.18,1.4
"Achillea millefolium","Compositae","SOS222",3.05,1.65
"Achillea millefolium","Compositae","SOS222",2.92,2.03
"Achillea millefolium","Compositae","SOS222",3.3,1.52
"Achillea millefolium","Compositae","SOS242",2.16,1.27
"Achillea millefolium","Compositae","SOS242",2.41,1.14
"Achillea millefolium","Compositae","SOS185",1.91,0.76
"Achillea millefolium","Compositae","SOS185",1.91,0.76
"Achillea millefolium","Compositae","SOS185",2.29,0.64
"Achillea millefolium","Compositae","SOS185",2.16,1.02
"Achillea millefolium","Compositae","SOS242",1.91,1.02
"Achillea millefolium","Compositae","SOS185",1.78,0.89
"Achillea millefolium","Compositae","SOS185",2.03,0.76
"Achillea millefolium","Compositae","SOS185",1.78,0.51
"Achillea millefolium","Compositae","SOS251",2.29,1.14
"Achillea millefolium","Compositae","SOS251",2.41,1.14
"Achillea millefolium","Compositae","SOS251",1.91,2.03
"Achillea millefolium","Compositae","SOS251",2.16,1.27
"Achillea millefolium","Compositae","SOS251",2.29,1.02
"Achillea millefolium","Compositae","SOS251",2.67,1.52
"Achillea millefolium","Compositae","SOS251",2.03,1.02
"Achillea millefolium","Compositae","SOS251",2.29,1.14
"Achillea millefolium","Compositae","SOS251",1.65,1.91
"Achillea millefolium","Compositae","SOS251",2.16,1.4
"Achillea millefolium","Compositae","SOS251",2.03,0.76
"Achillea millefolium","Compositae","SOS222",3.18,1.14
"Achillea millefolium","Compositae","SOS222",2.29,1.14
"Achillea millefolium","Compositae","SOS185",2.03,0.64
"Achillea millefolium","Compositae","SOS185",1.65,0.64
"Achillea millefolium","Compositae","SOS222",3.18,0.89
"Achillea millefolium","Compositae","SOS222",2.54,1.02
"Achillea millefolium","Compositae","SOS222",3.56,1.02
"Achillea millefolium","Compositae","SOS129",2.16,1.02
"Achillea millefolium","Compositae","SOS222",2.41,0.89
"Achillea millefolium","Compositae","SOS129",2.03,1.52
"Achillea millefolium","Compositae","SOS129",2.03,0.89
"Achillea millefolium","Compositae","SOS129",2.16,0.89
"Achillea millefolium","Compositae","SOS251",1.91,0.89
"Achillea millefolium","Compositae","SOS251",1.52,1.27
"Achillea millefolium","Compositae","SOS251",1.91,1.02
"Achillea millefolium","Compositae","SOS222",2.79,1.52
"Achillea millefolium","Compositae","SOS222",2.67,2.03
"Achillea millefolium","Compositae","SOS185",2.03,0.89
"Achillea millefolium","Compositae","SOS185",1.91,0.64
"Achillea millefolium","Compositae","SOS185",1.91,0.64
"Achillea millefolium","Compositae","SOS185",1.65,0.89
"Achillea millefolium","Compositae","SOS185",1.65,0.89
"Achillea millefolium","Compositae","SOS185",1.91,1.02
"Achillea millefolium","Compositae","SOS185",1.52,0.38
"Achillea millefolium","Compositae","SOS185",2.16,0.76
"Achillea millefolium","Compositae","SOS185",1.78,0.51
