"Plot","Species","Cover"
1,"Agrostis capillaris",37.5
1,"Agrostis stolonifera",1
1,"Arctium minus",0.1
1,"Arrhenatherum elatius",5
1,"Bromus hordeaceus",5
1,"Centaurea nigra",5
1,"Cerastium fontanum",5
1,"Crepis capillaris",5
1,"Crepis vesicaria",1
1,"Dactylis glomerata",15
1,"Galium aparine",0.1
1,"Geranium dissectum",5
1,"Geranium pyrenaicum",1
1,"Holcus lanatus",62.5
1,"Knautia nevadensis",1
1,"Leontodon hispidus",1
1,"Lolium perenne",15
1,"Phleum pratense",37.5
1,"Plantago lanceolata",37.5
1,"Plantago media",5
1,"Poa pratensis",5
1,"Ranunculus acris",15
1,"Ranunculus repens",15
1,"Rhinanthus angustifolius",1
1,"Rumex acetosa",5
1,"Rumex obtusifolius",1
1,"Rumex pulcher",15
1,"Sisymbrium officinale",5
1,"Sonchus asper",1
1,"Taraxacum officinale",5
1,"Torilis nodosa",1
1,"Trifolium pratense",15
1,"Trifolium repens",37.5
1,"Urtica dioica",1
1,"Vicia sativa",1
2,"Agrostis capillaris",37.5
2,"Anthoxanthum odoratum",5
2,"Arrhenatherum elatius",5
2,"Astrantia major",1
2,"Centaurea nigra",37.5
2,"Cerastium fontanum",1
2,"Cynosurus cristatus",15
2,"Dactylis glomerata",37.5
2,"Daucus carota",1
2,"Festuca nigrescens",1
2,"Holcus lanatus",15
2,"Hypochaeris radicata",5
2,"Juncus effusus",0.1
2,"Lathyrus pratensis",5
2,"Lolium multiflorum",5
2,"Lolium perenne",37.5
2,"Lotus pedunculatus",5
2,"Medicago lupulina",1
2,"Phleum pratense",5
2,"Plantago lanceolata",62.5
2,"Plantago media",5
2,"Poa pratensis",5
2,"Potentilla erecta",1
2,"Prunella vulgaris",5
2,"Ranunculus acris",15
2,"Ranunculus repens",5
2,"Rumex crispus",1
2,"Rumex obtusifolius",1
2,"Succisa pratensis",1
2,"Taraxacum officinale",5
2,"Trifolium pratense",5
2,"Trifolium repens",37.5
2,"Trisetum flavescens",5
2,"Urtica dioica",0.1
2,"Veronica chamaedrys",1
3,"Agrostis capillaris",37.5
3,"Agrostis stolonifera",1
3,"Anthoxanthum odoratum",5
3,"Arrhenatherum elatius",5
3,"Bromus hordeaceus",1
3,"Bromus racemosus",5
3,"Centaurea nigra",37.5
3,"Cerastium fontanum",1
3,"Crepis capillaris",15
3,"Crepis vesicaria",1
3,"Cynosurus cristatus",15
3,"Dactylis glomerata",5
3,"Daucus carota",37.5
3,"Equisetum telmateia",5
3,"Euphrasia stricta",1
3,"Filipendula ulmaria",0.1
3,"Galeopsis tetrahit",0.1
3,"Heracleum sphondylium",1
3,"Holcus lanatus",62.5
3,"Hypochaeris radicata",15
3,"Knautia nevadensis",5
3,"Lathyrus pratensis",5
3,"Leontodon hispidus",15
3,"Lolium perenne",15
3,"Lotus pedunculatus",15
3,"Phleum pratense",15
3,"Plantago lanceolata",62.5
3,"Plantago media",1
3,"Poa trivialis",1
3,"Potentilla erecta",5
3,"Prunella vulgaris",1
3,"Ranunculus acris",5
3,"Rumex acetosa",1
3,"Rumex obtusifolius",1
3,"Senecio duriaei",0.1
3,"Trifolium pratense",37.5
3,"Trifolium repens",15
3,"Trisetum flavescens",5
3,"Urtica dioica",0.1
4,"Agrostis capillaris",15
4,"Agrostis stolonifera",1
4,"Anthoxanthum odoratum",1
4,"Arrhenatherum elatius",1
4,"Bromus hordeaceus",5
4,"Campanula patula",1
4,"Centaurea nigra",15
4,"Cerastium fontanum",5
4,"Crepis capillaris",15
4,"Cynosurus cristatus",15
4,"Dactylis glomerata",5
4,"Daucus carota",5
4,"Euphrasia stricta",5
4,"Heracleum sphondylium",1
4,"Holcus lanatus",37.5
4,"Hypochaeris radicata",5
4,"Knautia nevadensis",1
4,"Leontodon hispidus",15
4,"Linum bienne",15
4,"Lolium multiflorum",1
4,"Lolium perenne",15
4,"Lotus corniculatus",15
4,"Lotus pedunculatus",1
4,"Medicago lupulina",5
4,"Persicaria maculosa",1
4,"Phleum pratense",5
4,"Plantago lanceolata",62.5
4,"Plantago media",1
4,"Ranunculus acris",15
4,"Ranunculus bulbosus",0.1
4,"Ranunculus repens",0.1
4,"Rumex acetosa",1
4,"Rumex obtusifolius",1
4,"Sherardia arvensis",1
4,"Taraxacum officinale",15
4,"Trifolium pratense",15
4,"Trifolium repens",37.5
4,"Trisetum flavescens",5
5,"Agrostis capillaris",37.5
5,"Agrostis stolonifera",0.1
5,"Alchemilla xanthochlora",1
5,"Arrhenatherum elatius",1
5,"Astrantia major",5
5,"Bromus hordeaceus",5
5,"Centaurea nigra",15
5,"Cerastium fontanum",1
5,"Crepis capillaris",15
5,"Cynosurus cristatus",5
5,"Dactylis glomerata",15
5,"Daucus carota",1
5,"Equisetum telmateia",0.1
5,"Filipendula ulmaria",1
5,"Geranium pyrenaicum",1
5,"Glyceria fluitans",0.1
5,"Helleborus viridis",0.1
5,"Heracleum sphondylium",1
5,"Holcus lanatus",15
5,"Juncus effusus",0.1
5,"Lathyrus pratensis",5
5,"Leontodon hispidus",15
5,"Lolium multiflorum",15
5,"Lolium perenne",15
5,"Lotus corniculatus",15
5,"Lotus pedunculatus",5
5,"Persicaria maculosa",0.1
5,"Phleum pratense",5
5,"Plantago lanceolata",62.5
5,"Plantago media",1
5,"Prunella vulgaris",5
5,"Ranunculus acris",15
5,"Ranunculus repens",5
5,"Rumex obtusifolius",5
5,"Schedonorus pratensis",1
5,"Taraxacum officinale",15
5,"Trifolium pratense",15
5,"Trifolium repens",37.5
5,"Trisetum flavescens",5
6,"Achillea millefolium",5
6,"Agrostis capillaris",37.5
6,"Aira caryophyllea",1
6,"Anisantha sterilis",1
6,"Anthemis arvensis",15
6,"Anthoxanthum odoratum",1
6,"Arrhenatherum elatius",37.5
6,"Asphodelus albus",1
6,"Briza media",1
6,"Bromus hordeaceus",37.5
6,"Centaurea nigra",1
6,"Cerastium pumilum",1
6,"Clinopodium vulgare",0.1
6,"Crepis capillaris",1
6,"Crepis vesicaria",1
6,"Cynosurus cristatus",5
6,"Cynosurus echinatus",1
6,"Dactylis glomerata",5
6,"Daucus carota",1
6,"Dianthus deltoides",0.1
6,"Echium vulgare",5
6,"Erodium cicutarium",5
6,"Euphrasia stricta",1
6,"Galium verum",1
6,"Geranium columbinum",1
6,"Geranium dissectum",1
6,"Helianthemum nummularium",0.1
6,"Holcus lanatus",37.5
6,"Hypochaeris radicata",1
6,"Knautia nevadensis",1
6,"Linum bienne",5
6,"Lolium perenne",5
6,"Lotus corniculatus",5
6,"Malva moschata",5
6,"Malva sylvestris",5
6,"Petrorhagia nanteuilii",1
6,"Phleum pratense",1
6,"Plantago lanceolata",15
6,"Prunella grandiflora",1
6,"Rhinanthus angustifolius",5
6,"Rumex acetosa",1
6,"Sanguisorba minor",5
6,"Sherardia arvensis",1
6,"Trifolium campestre",1
6,"Trifolium dubium",1
6,"Trifolium ochroleucon",1
6,"Trifolium pratense",37.5
6,"Trifolium repens",15
6,"Trisetum flavescens",5
6,"Veronica arvensis",1
7,"Achillea millefolium",5
7,"Agrostis capillaris",37.5
7,"Anthemis arvensis",15
7,"Arrhenatherum elatius",15
7,"Ballota nigra",0.1
7,"Briza media",1
7,"Bromus hordeaceus",37.5
7,"Centaurea nigra",5
7,"Cerastium pumilum",1
7,"Crepis capillaris",5
7,"Cynosurus cristatus",5
7,"Cynosurus echinatus",5
7,"Dactylis glomerata",5
7,"Echium vulgare",0.1
7,"Galium verum",1
7,"Geranium dissectum",1
7,"Geranium pyrenaicum",1
7,"Holcus lanatus",37.5
7,"Holcus mollis",5
7,"Iris latifolia",1
7,"Knautia nevadensis",1
7,"Lepidium heterophyllum",0.1
7,"Linum bienne",5
7,"Lolium perenne",5
7,"Lotus corniculatus",15
7,"Malva sylvestris",5
7,"Petrorhagia nanteuilii",1
7,"Phleum pratense",1
7,"Plantago lanceolata",5
7,"Poa pratensis",5
7,"Prunella grandiflora",1
7,"Rhinanthus angustifolius",5
7,"Rhinanthus minor",1
7,"Rumex acetosa",1
7,"Rumex aquitanicus",1
7,"Sanguisorba minor",15
7,"Sherardia arvensis",1
7,"Silene vulgaris",5
7,"Sisymbrium austriacum",0.1
7,"Trifolium dubium",5
7,"Trifolium pratense",15
7,"Trifolium repens",5
7,"Trisetum flavescens",5
7,"Vicia sativa",1
8,"Achillea millefolium",1
8,"Agrimonia eupatoria",0.1
8,"Agrostis capillaris",15
8,"Anthemis arvensis",37.5
8,"Anthoxanthum odoratum",1
8,"Arrhenatherum elatius",15
8,"Bromopsis erecta",15
8,"Bromus hordeaceus",15
8,"Carduus nutans",0.1
8,"Centaurea nigra",1
8,"Cirsium pannonicum",0.1
8,"Clinopodium vulgare",0.1
8,"Convolvulus arvensis",37.5
8,"Crepis capillaris",5
8,"Crepis vesicaria",1
8,"Cynosurus cristatus",5
8,"Cynosurus echinatus",5
8,"Dactylis glomerata",5
8,"Daucus carota",5
8,"Echium vulgare",5
8,"Euphrasia stricta",1
8,"Festuca nigrescens",5
8,"Geranium dissectum",1
8,"Holcus lanatus",1
8,"Hypochaeris radicata",1
8,"Knautia nevadensis",1
8,"Lathyrus pratensis",1
8,"Linum bienne",37.5
8,"Lolium perenne",5
8,"Lotus corniculatus",1
8,"Malva moschata",5
8,"Phleum pratense",0.1
8,"Plantago lanceolata",15
8,"Prunella grandiflora",1
8,"Rhinanthus angustifolius",15
8,"Sanguisorba minor",5
8,"Sherardia arvensis",1
8,"Thymus pulegioides",0.1
8,"Trifolium dubium",1
8,"Trifolium pratense",15
8,"Trifolium repens",15
8,"Trisetum flavescens",5
8,"Vicia cracca",37.5
9,"Achillea millefolium",5
9,"Anthemis arvensis",37.5
9,"Arrhenatherum elatius",37.5
9,"Bromus hordeaceus",37.5
9,"Carduus nutans",0.1
9,"Centaurea nigra",5
9,"Cirsium arvense",0.1
9,"Cirsium pannonicum",0.1
9,"Convolvulus arvensis",37.5
9,"Crepis capillaris",5
9,"Cynosurus cristatus",5
9,"Cynosurus echinatus",1
9,"Dactylis glomerata",15
9,"Daucus carota",1
9,"Echium vulgare",5
9,"Erodium cicutarium",5
9,"Galium verum",5
9,"Geranium dissectum",5
9,"Geranium pyrenaicum",5
9,"Geranium sanguineum",1
9,"Holcus lanatus",15
9,"Hypochaeris radicata",5
9,"Knautia nevadensis",5
9,"Lathyrus pratensis",5
9,"Linum bienne",15
9,"Lolium perenne",15
9,"Lotus corniculatus",5
9,"Lotus pedunculatus",1
9,"Malva moschata",1
9,"Malva sylvestris",5
9,"Medicago lupulina",1
9,"Medicago polymorpha",1
9,"Ononis spinosa",5
9,"Plantago lanceolata",5
9,"Plantago major",0.1
9,"Rhinanthus minor",5
9,"Rumex acetosa",1
9,"Sanguisorba minor",1
9,"Sherardia arvensis",1
9,"Tragopogon pratensis",1
9,"Trifolium pratense",37.5
9,"Trifolium repens",5
9,"Trisetum flavescens",15
9,"Verbena officinalis",5
9,"Vicia cracca",5
9,"Vulpia myuros",1
10,"Achillea millefolium",1
10,"Agrostis capillaris",15
10,"Anthemis arvensis",1
10,"Anthoxanthum odoratum",15
10,"Arrhenatherum elatius",5
10,"Briza media",5
10,"Bromus arvensis",5
10,"Bromus hordeaceus",15
10,"Centaurea nigra",5
10,"Crepis capillaris",5
10,"Cynosurus cristatus",37.5
10,"Dactylis glomerata",5
10,"Daucus carota",1
10,"Echium vulgare",1
10,"Festuca nigrescens",5
10,"Galium verum",1
10,"Gaudinia fragilis",5
10,"Geranium dissectum",5
10,"Holcus lanatus",15
10,"Hypochaeris radicata",1
10,"Knautia nevadensis",5
10,"Lathyrus pratensis",1
10,"Linum bienne",37.5
10,"Lolium perenne",15
10,"Lotus corniculatus",5
10,"Malva moschata",1
10,"Plantago lanceolata",15
10,"Plantago major",5
10,"Ranunculus acris",5
10,"Rhinanthus angustifolius",15
10,"Rumex acetosa",1
10,"Sanguisorba minor",15
10,"Trifolium campestre",5
10,"Trifolium dubium",5
10,"Trifolium pratense",5
10,"Trifolium repens",5
10,"Trisetum flavescens",5
11,"Achillea millefolium",5
11,"Anthemis arvensis",5
11,"Arrhenatherum elatius",15
11,"Bromus hordeaceus",15
11,"Chaerophyllum aureum",5
11,"Cirsium arvense",0.1
11,"Convolvulus arvensis",5
11,"Crepis capillaris",5
11,"Crepis vesicaria",1
11,"Cynosurus cristatus",5
11,"Cynosurus echinatus",1
11,"Dactylis glomerata",5
11,"Galium verum",5
11,"Geranium dissectum",5
11,"Geranium pyrenaicum",0.1
11,"Heracleum sphondylium",1
11,"Holcus lanatus",5
11,"Knautia nevadensis",5
